Date,Home Price Index,Residential Investment,Housing Wealth Effect
2011-12-31,106.41764239882,-0.019271988916024,0.0037762237758275
2011-09-30,110.85321943004,-0.019684399630562,0.0062674302348004
2011-06-30,111.49079537091,-0.019529449543195,0.0067278930020895
2011-03-31,109.44750712839,-0.019654395183505,0.0056762394311554
2010-12-31,114.79780885684,-0.019436962600707,0.0086916432649799
2010-09-30,119.32629333313,-0.019481001891319,0.01113212668567
2010-06-30,121.5876429422,-0.017387679496465,0.012689432162445
2010-03-31,116.89651341661,-0.018126369318517,0.010470669933043
2009-12-31,120.6135806292,-0.01681831802503,0.012490569723904
2009-09-30,122.42951007549,-0.016467430831429,0.01344529813577
2009-06-30,119.7572093745,-0.017175662831848,0.012050644412899
2009-03-31,117.29613283609,-0.01533156819425,0.010658792611973
2008-12-31,123.42079428185,-0.01244790034207,0.014186576638514
2008-09-30,131.16739582025,-0.0096154969155427,0.01830645363169
2008-06-30,139.1706398603,-0.0075800772197105,0.022546696127694
2008-03-31,144.75412812781,-0.0057474780557484,0.026092414413461
2007-12-31,156.69175997167,-0.0023624025761001,0.031769389480762
2007-09-30,165.69452913169,0.0015324914249424,0.036120069610602
2007-06-30,169.91902495106,0.0051304090621583,0.038840668034535
2007-03-31,175.0758918774,0.0075845018543949,0.042069160365273
2006-12-31,177.14000584012,0.010229005752674,0.043689474689541
2006-09-30,177.23365432897,0.013317778995807,0.043846888162272
2006-06-30,180.72458663114,0.016952577222079,0.04532857944274
2006-03-31,182.41302196818,0.01991156773834,0.046756607236335
2005-12-31,179.96220934992,0.020730742661271,0.045515744908637
2005-09-30,179.64497209489,0.020386708593213,0.044796917804541
2005-06-30,174.09746034608,0.019269631774081,0.04224432724043
2005-03-31,170.10720925066,0.017558902915824,0.039982796732936
2004-12-31,163.77221841178,0.016894346263643,0.03649083107321
2004-09-30,160.48343345094,0.016469425009841,0.034717313626745
2004-06-30,155.9571041069,0.015544448018374,0.032508437897081
2004-03-31,151.42002342784,0.013123048628411,0.030068238632557
2003-12-31,147.46921663875,0.012197307423238,0.027807307140965
2003-09-30,144.30602425881,0.010539197037828,0.026152222744015
2003-06-30,139.99281003272,0.0087653039743061,0.024170238775282
2003-03-31,137.68535320885,0.0081858666878344,0.022919730033884
2002-12-31,135.97978170057,0.0071581044078009,0.021867370064801
2002-09-30,134.27754895188,0.0059057763118646,0.020860813220902
2002-06-30,130.35340384356,0.0058935195677783,0.018720287512945
2002-03-31,127.75037052132,0.0049630517213125,0.017187743193288
2001-12-31,125.40923894224,0.0043928065241556,0.015889187365725
2001-09-30,124.76200604116,0.0047753927491226,0.015383038532378
2001-06-30,122.13953669563,0.0037737712516226,0.013648642942997
2001-03-31,119.65022490653,0.0031952679212905,0.012242648316724
2000-12-31,118.89700603085,0.0025527599700966,0.011474489167905
2000-09-30,117.98065366805,0.0026317181229703,0.010799354562018
2000-06-30,116.14838515873,0.0033901094052234,0.0096004172232021
2000-03-31,113.58638554967,0.004373600052571,0.0081575192563361
1999-12-31,112.04231302392,0.0037084743690828,0.0071503574319242
1999-09-30,111.60127437868,0.0037657119858809,0.0069003993313389
1999-06-30,109.30673484984,0.0037508569432225,0.0056002473805621
1999-03-31,107.45496065628,0.0032859429036526,0.0045077922741571
1998-12-31,106.16675662159,0.0031719413836073,0.0037481036150016
1998-09-30,105.85304580017,0.0025982835509142,0.0035530531046374
1998-06-30,104.18520738913,0.0016108848492884,0.0025663155636095
1998-03-31,101.69248521053,0.00053690428995187,0.0010550486702954
1997-12-31,100.61279600808,0.00014027005194162,0.00038657021369273
1997-09-30,100.78867472161,-0.00011817117244641,0.00049368302245941
1997-06-30,99.996008498102,-2.1988851110627e-06,3.210011071448e-06
1997-03-31,98.602520772208,-1.9899994384141e-05,-0.00088346324722359
1996-12-31,98.325656417065,0.00022604708007615,-0.0010680436268269
1996-09-30,99.799284541258,0.0011494027016469,-0.00012184008932316
1996-06-30,99.497952933492,0.0013019394663886,-0.00031438955249104
1996-03-31,98.859645824436,0.00023997661972516,-0.00073301672901481
1995-12-31,99.185139449657,-0.00047174044998275,-0.00052071782366711
1995-09-30,100.41823021759,-0.0011255242138426,0.00027337959606853
1995-06-30,100.07015901966,-0.0019898815351445,5.0804263902567005e-05
1995-03-31,99.170905350115,-0.00059146433002847,-0.0005310680033189
